Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.016,0.021,0.019,0.014,0.017,0.016,0.015,0.017,0.017,0.014,0.009,0.010,0.013,0.015,0.013,0.015,0.015,0.014,0.012,0.017,0.015,0.015,0.016,0.015,0.015,0.017,0.014,0.014,0.013,0.018,0.017,0.010,0.014
"Albania","Europe","ALB","National","ALBt","Total",0.032,0.038,0.032,0.036,0.030,0.046,0.050,0.032,0.042,0.043,0.032,0.039,0.041,0.038,0.050,0.049,0.036,0.036,0.037,0.050,0.063,0.028,0.046,0.046,0.046,0.038,0.051,0.038,0.051,0.042,0.038,0.051,0.041
"Algeria","Africa","DZA","National","DZAt","Total",0.012,0.012,0.012,0.009,0.009,0.010,0.014,0.011,0.010,0.011,0.007,0.009,0.010,0.015,0.013,0.010,0.011,0.012,0.012,0.013,0.012,0.014,0.012,0.013,0.012,0.010,0.010,0.009,0.015,0.012,0.009,0.008,0.008
"Andorra","Europe","AND","National","ANDt","Total",0.030,0.029,0.037,0.029,0.028,0.032,0.041,0.030,0.030,0.031,0.028,0.027,0.037,0.037,0.029,0.032,0.026,0.027,0.038,0.033,0.033,0.030,0.029,0.041,0.037,0.030,0.030,0.032,0.043,0.032,0.037,0.031,0.029
"Angola","Africa","AGO","National","AGOt","Total",0.037,0.035,0.035,0.037,0.036,0.038,0.032,0.035,0.038,0.041,0.034,0.036,0.041,0.038,0.037,0.038,0.039,0.038,0.035,0.037,0.037,0.039,0.032,0.034,0.035,0.038,0.040,0.033,0.038,0.037,0.037,0.032,0.032
"Antigua and Barbuda","America","ATG","National","ATGt","Total",0.031,0.022,0.026,0.026,0.020,0.036,0.033,0.024,0.038,0.040,0.024,0.022,0.024,0.029,0.044,0.041,0.033,0.031,0.031,0.029,0.042,0.043,0.034,0.032,0.030,0.022,0.034,0.034,0.024,0.024,0.029,0.021,0.028
"Argentina urban","America","ARG","National","ARGt","Total",0.032,0.034,0.034,0.030,0.030,0.024,0.030,0.032,0.031,0.030,0.034,0.033,0.034,0.027,0.026,0.026,0.026,0.028,0.024,0.024,0.025,0.024,0.027,0.022,0.031,0.030,0.029,0.029,0.026,0.024,0.020,0.021,0.019
"Armenia","Europe","ARM","National","ARMt","Total",0.025,0.025,0.026,0.026,0.028,0.023,0.023,0.025,0.023,0.026,0.020,0.024,0.030,0.028,0.025,0.028,0.025,0.029,0.023,0.030,0.028,0.028,0.026,0.025,0.025,0.028,0.030,0.021,0.028,0.022,0.025,0.023,0.021
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.022,0.023,0.021,0.022,0.018,0.025,0.023,0.020,0.022,0.023,0.026,0.021,0.016,0.020,0.020,0.019,0.017,0.021,0.019,0.019,0.028,0.027,0.021,0.021,0.019,0.018,0.023,0.020,0.016,0.015,0.023,0.025,0.025
"Austria","Europe","AUT","National","AUTt","Total",0.038,0.039,0.037,0.038,0.037,0.043,0.043,0.040,0.041,0.045,0.042,0.041,0.044,0.031,0.040,0.042,0.038,0.042,0.041,0.044,0.043,0.034,0.042,0.043,0.045,0.035,0.043,0.041,0.038,0.042,0.042,0.041,0.039
