Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",46.92,50.84,49.57,46.11,48.90,45.20,45.28,48.20,45.80,45.53,40.39,38.88,41.92,43.56,42.55,46.06,44.43,45.45,42.68,47.27,43.45,42.75,46.52,45.31,44.12,46.90,43.64,41.87,41.67,45.48,44.44,38.97,44.63
"Albania","Europe","ALB","National","ALBt","Total",69.33,72.14,69.82,69.29,69.81,72.89,72.57,69.23,71.30,73.10,68.98,71.20,73.29,67.89,71.29,71.45,70.58,68.74,70.80,71.43,72.59,67.46,67.72,69.96,73.80,67.43,70.22,65.92,70.44,69.34,68.35,67.06,66.58
"Algeria","Africa","DZA","National","DZAt","Total",51.51,51.95,51.71,49.24,47.68,49.55,51.54,50.18,48.76,47.81,46.25,46.72,47.90,50.94,51.52,49.81,49.34,50.64,50.59,50.77,50.79,52.62,49.20,52.00,48.75,49.75,48.53,46.33,52.11,47.63,45.82,43.33,43.01
"Andorra","Europe","AND","National","ANDt","Total",74.71,72.93,75.00,71.49,70.62,73.93,76.22,72.98,71.64,73.74,72.07,72.65,73.73,73.18,72.06,68.22,70.08,68.49,72.03,69.75,72.37,70.49,68.69,71.80,74.01,68.65,72.50,68.98,76.62,68.80,75.50,75.49,68.45
"Angola","Africa","AGO","National","AGOt","Total",65.02,65.13,65.98,65.63,64.43,65.15,62.55,63.36,63.46,64.93,64.06,64.67,66.34,65.29,65.09,65.27,65.82,64.12,62.95,63.26,63.60,64.66,61.88,61.90,63.27,63.80,64.61,64.09,64.68,63.68,64.53,63.03,63.84
"Antigua and Barbuda","America","ATG","National","ATGt","Total",79.75,79.38,79.95,80.16,79.25,79.34,79.02,78.83,80.06,78.68,77.28,78.70,78.56,79.26,78.96,78.66,79.44,78.95,78.50,79.16,78.98,79.15,78.83,79.41,79.33,79.33,80.54,79.93,79.01,78.99,78.87,78.40,78.56
"Argentina urban","America","ARG","National","ARGt","Total",60.83,62.39,63.22,59.99,59.29,55.66,58.44,60.30,61.39,60.50,61.88,62.91,61.48,57.02,58.87,57.84,57.14,57.90,56.14,53.48,57.13,56.73,57.12,54.93,59.08,60.23,61.17,59.55,58.08,57.04,53.68,56.01,52.77
"Armenia","Europe","ARM","National","ARMt","Total",65.86,67.20,68.23,68.43,69.28,67.33,67.33,66.73,65.45,63.57,61.04,62.86,65.35,69.06,66.63,68.60,65.36,68.62,65.40,68.45,65.55,67.80,66.91,65.34,66.13,66.01,66.85,63.52,68.10,63.54,64.94,62.75,62.41
"Australia","Asia/Pacific","AUS","National","AUSt","Total",57.68,57.04,60.23,60.07,54.94,59.88,57.88,58.06,59.08,59.54,61.30,59.09,53.45,56.19,55.99,55.47,54.48,55.90,55.37,54.71,61.95,61.64,57.11,55.11,55.88,55.71,58.38,56.28,53.64,51.28,56.97,57.96,60.95
"Austria","Europe","AUT","National","AUTt","Total",73.91,76.42,74.68,76.37,76.15,77.64,78.80,76.57,76.31,78.55,76.56,77.25,76.51,72.53,76.12,75.62,75.51,74.39,75.84,76.64,76.87,74.72,74.98,76.56,77.25,72.63,75.95,73.11,74.48,73.17,72.98,73.55,71.70
"Azerbaijan","Europe","AZE","National","AZEt","Total",68.47,69.05,69.44,70.98,71.27,67.01,68.13,69.63,67.09,65.36,65.64,67.08,68.71,70.99,68.43,69.62,68.31,70.21,70.54,69.56,68.07,71.19,69.39,68.69,66.75,68.53,70.15,66.91,67.99,66.59,66.71,65.09,64.33
"Bahamas","America","BHS","National","BHSt","Total",76.52,77.23,76.41,76.42,77.84,77.22,76.77,77.77,75.92,75.68,75.61,76.24,77.03,76.84,74.76,75.72,75.57,76.35,75.73,76.15,74.05,76.29,76.40,77.09,76.00,77.41,75.67,76.82,77.47,77.08,77.65,76.00,77.07
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",65.27,69.06,67.92,68.83,67.48,69.11,69.51,67.33,68.15,66.99,67.57,66.46,66.01,68.25,66.84,68.44,67.53,67.53,66.52,67.22,68.60,67.37,67.82,67.56,67.93,68.92,68.53,69.09,69.28,68.54,68.10,67.76,68.78
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",79.16,77.73,76.10,77.98,76.31,75.78,76.90,77.99,79.42,76.55,77.70,77.04,77.95,78.01,77.05,77.45,75.91,77.59,77.84,75.65,76.70,77.06,77.10,76.97,77.07,79.29,79.75,80.05,78.50,78.41,79.31,77.63,78.36
"Barbados","America","BRB","National","BRBt","Total",80.80,80.49,80.60,80.46,80.03,80.08,79.49,79.51,80.02,79.35,79.29,79.42,79.75,79.72,79.92,79.92,79.72,79.18,79.17,79.26,79.76,80.60,79.90,79.99,79.83,79.97,80.48,80.40,79.80,79.65,78.98,78.69,79.29
"Belarus","Europe","BLR","National","BLRt","Total",76.91,78.54,74.25,76.33,75.90,75.54,75.59,76.70,77.97,73.37,76.11,76.20,71.25,75.75,76.23,75.90,76.17,75.89,77.35,77.73,77.11,75.84,77.54,77.17,73.26,71.14,75.58,76.55,74.20,73.30,74.84,75.81,74.69
"Belgium","Europe","BEL","National","BELt","Total",76.04,78.38,79.97,78.79,79.48,79.09,78.06,78.64,81.11,79.88,81.15,80.29,79.61,74.99,79.29,79.19,78.90,79.32,78.77,77.83,78.13,77.26,79.41,79.01,79.61,77.55,79.30,77.64,74.38,75.93,73.49,79.46,73.19
"Belize","America","BLZ","National","BLZt","Total",85.27,83.47,84.43,83.49,81.91,81.07,82.93,82.07,81.57,82.61,82.97,82.13,81.51,80.07,81.35,80.31,83.29,82.33,82.06,80.24,79.52,80.91,82.96,83.67,83.24,82.84,83.77,82.88,83.51,79.80,81.56,81.49,82.39
"Benin","Africa","BEN","National","BENt","Total",69.03,71.43,66.63,68.33,68.71,69.08,69.64,68.60,67.06,70.25,66.89,67.56,68.94,70.20,70.68,69.80,69.39,67.87,66.87,70.21,69.91,68.38,69.85,69.71,70.95,66.63,68.30,68.27,69.62,70.00,67.29,67.51,66.90
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",82.70,82.64,80.53,82.90,81.49,81.78,82.33,82.77,81.62,79.67,81.52,81.36,81.98,83.14,82.44,81.82,80.63,81.01,81.85,81.84,82.18,81.76,81.16,80.45,82.24,82.52,82.63,81.98,82.09,81.71,82.60,82.84,82.71
"Bolivia","America","BOL","National","BOLt","Total",65.81,65.49,65.17,64.65,64.11,62.07,65.09,64.66,63.84,64.97,64.10,65.88,65.65,63.48,65.36,63.70,64.61,64.22,63.22,63.76,60.28,63.73,64.51,63.39,64.32,64.13,61.14,63.19,64.91,63.20,59.78,62.05,57.70
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",72.12,75.61,72.01,73.17,74.41,75.85,76.59,74.09,73.06,76.21,68.48,74.54,74.70,69.23,74.48,75.08,74.34,70.99,72.28,72.96,75.32,70.06,68.48,73.25,77.62,72.01,74.41,70.21,76.06,72.88,71.62,70.53,70.10
"Botswana","Africa","BWA","National","BWAt","Total",44.51,47.47,38.21,44.50,41.23,41.82,47.15,48.20,45.27,44.74,54.65,52.04,42.35,40.43,46.59,42.77,50.73,42.42,46.54,52.05,49.93,48.29,42.50,41.66,47.02,36.69,40.06,45.93,38.76,36.71,43.18,45.83,47.31
"Brazil","America","BRA","National","BRAt","Total",73.92,74.04,75.08,72.88,74.11,73.54,74.47,73.58,72.65,72.96,75.16,73.57,72.86,72.02,73.07,72.42,72.99,71.36,72.68,75.06,71.52,73.36,70.30,72.43,72.16,71.29,71.02,71.34,72.95,71.36,70.64,70.83,71.75
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",86.05,86.90,86.09,86.35,85.83,86.21,86.27,85.63,85.19,85.49,85.16,85.26,84.00,84.51,85.21,83.85,86.21,86.30,86.28,84.57,86.07,85.89,85.58,85.74,86.27,86.58,85.67,86.53,85.92,85.43,86.55,86.01,86.58
"Bulgaria","Europe","BGR","National","BGRt","Total",70.39,76.60,69.99,69.11,71.67,74.43,73.90,73.15,72.10,74.03,66.69,69.56,72.10,70.63,72.40,74.97,72.45,68.03,70.08,71.92,74.18,70.94,67.86,70.79,76.52,70.63,70.60,69.78,73.20,70.14,69.11,70.08,66.51
"Burkina Faso","Africa","BFA","National","BFAt","Total",40.36,43.83,41.32,41.78,43.11,42.50,41.24,41.22,40.91,41.76,41.11,39.30,40.32,43.04,42.10,43.33,39.15,40.73,38.72,43.15,43.46,40.96,42.03,42.64,42.28,39.02,41.94,40.01,42.98,40.98,42.05,41.23,42.30
"Burundi","Africa","BDI","National","BDIt","Total",70.78,73.16,69.35,67.77,70.85,68.35,68.49,67.32,66.95,65.86,62.52,69.60,65.93,65.10,65.85,66.13,68.54,68.49,67.17,67.35,65.83,70.57,69.85,67.73,68.56,69.82,67.87,68.81,70.79,71.10,69.51,69.72,68.65
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",73.20,72.14,72.33,74.39,74.46,72.39,75.06,73.77,72.86,77.84,76.25,74.07,70.90,71.42,71.24,72.85,73.08,74.47,74.79,75.77,73.39,72.82,74.17,73.78,73.30,70.77,73.70,75.88,74.81,71.57,74.39,75.31,77.25
"Cameroon","Africa","CMR","National","CMRt","Total",70.07,71.18,69.85,71.20,70.56,70.70,70.57,69.59,68.17,72.92,69.18,69.13,70.26,69.96,69.11,69.72,69.40,68.49,69.06,69.99,68.76,69.35,70.09,71.61,70.51,68.33,69.26,68.63,70.09,70.56,67.50,67.53,67.80
"Canada","America","CAN","National","CANt","Total",71.81,71.72,72.58,72.87,72.04,72.71,73.24,73.33,72.84,72.42,73.20,72.58,72.82,72.48,73.14,73.35,73.00,72.77,72.79,73.12,73.70,73.23,72.88,73.07,73.22,72.41,73.95,72.50,72.18,73.20,73.29,72.73,72.38
"Cape Verde","Africa","CPV","National","CPVt","Total",78.20,78.71,78.03,78.63,78.71,77.99,78.23,77.97,78.39,79.22,78.05,78.89,77.68,77.73,77.77,78.45,77.94,77.87,79.06,79.10,79.14,77.46,78.40,79.60,78.81,79.70,79.73,79.07,78.99,78.74,79.18,79.77,79.06
"Central African Republic CAR","Africa","CAF","National","CAFt","Total",64.89,67.42,64.73,67.34,66.02,65.38,67.19,65.21,63.67,69.71,64.40,65.78,65.17,65.40,62.97,63.76,65.39,62.44,64.08,67.23,67.01,64.44,65.43,66.11,63.48,61.40,61.98,63.01,63.31,62.99,58.94,59.50,58.30
"Chad","Africa","TCD","National","TCDt","Total",32.94,36.50,37.07,36.65,36.02,36.07,36.26,37.53,35.48,38.15,35.46,35.34,35.50,36.13,35.38,35.32,34.36,34.57,34.94,34.50,35.71,34.83,36.60,36.16,36.15,32.89,35.90,34.81,36.36,37.59,35.96,33.62,35.63
"Chili","America","CHL","National","CHLt","Total",63.94,64.56,65.35,64.07,63.71,62.13,61.95,64.01,62.52,63.43,64.04,64.58,64.56,62.95,63.95,63.47,63.53,63.05,62.75,62.32,62.62,63.21,63.46,62.28,61.60,60.98,61.75,62.90,62.12,59.98,60.80,61.39,61.13
"China","Asia/Pacific","CHN","National","CHNt","Total",68.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",83.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,67.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,82.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,66.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,82.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,66.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,81.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,66.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,81.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,64.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,80.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,65.40,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,80.56,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,65.64,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,81.90,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,67.39,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,82.08,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,65.15,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,81.91,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,66.00,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,83.06,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,65.12,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,81.84,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,65.99,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,80.28,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,66.68,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,80.68,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,,63.16,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,,80.47,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,,,63.27,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,,,80.98,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,,,,63.84,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,,,,81.56,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,,,,,63.57,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,,,,,80.16,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,,,,,,63.21,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,,,,,,80.31,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,,,,,,,,,,,,,62.60,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,,,,,,,,,,,,,,79.31,,,,,,,,,,,,,
